"region_a","region_b","weight","total_streams_a"
"us","my",1695,7986316247
"sk","de",2026,59822451
"sv","in",204,104100002
"ro","bo",267,66480910
"nz","in",1369,238911758
"cz","at",2723,133732925
"py","do",4367,286041437
"sk","py",49,59822451
"sg","cz",1953,233681017
"vn","no",395,183269158
"sv","nz",260,104100002
"sv","gr",170,104100002
"za","us",3451,82232947
"my","lt",1637,296407407
"nz","gr",1128,238911758
"jp","br",2,1288700883
"pt","my",1520,196362474
"ec","au",183,258948980
"sk","lu",297,59822451
"my","at",1152,296407407
"fr","at",1131,1747249125
"nz","cz",2444,238911758
"br","be",197,4201011223
"nl","fi",1757,1238457931
"vn","ec",89,183269158
"sk","au",2781,59822451
"sk","se",1832,59822451
"se","mx",396,944441421
"pe","my",306,709049813
"ro","pl",945,66480910
"de","cz",1973,2848080355
"sg","pa",132,233681017
"sg","gr",745,233681017
"sg","nz",2847,233681017
"ni","mx",4718,39326273
"vn","global",1029,183269158
"vn","co",98,183269158
"se","pl",711,944441421
"sv","cz",269,104100002
"tw","id",923,235686855
"nl","gb",2733,1238457931
"pt","ar",344,196362474
"ie","id",506,301787717
"ro","mx",531,66480910
"it","id",192,2125984974
"pe","ar",3952,709049813
"za","il",2024,82232947
"jp","hu",104,1288700883
"tr","pe",94,1249971688
"vn","pt",414,183269158
"no","ca",2982,569319503
"sv","pa",4732,104100002
"mx","ar",3079,3730515231
"sk","fr",1125,59822451
"nz","ee",2941,238911758
"dk","co",74,420215977
"sg","ni",274,233681017
"se","bo",207,944441421
"za","jp",94,82232947
"tw","lt",745,235686855
"nz","ni",250,238911758
"th","my",1339,373758083
"it","at",508,2125984974
"es","bo",2835,2478566814
"py","ch",151,286041437
"nl","br",150,1238457931
"sg","ee",2040,233681017
"pl","it",345,778042542
"tw","at",582,235686855
"gr","global",1328,160374254
"jp","fi",85,1288700883
"us","ar",104,7986316247
"uy","us",116,121078533
"ni","global",1118,39326273
"ni","bo",4626,39326273
"sv","ee",248,104100002
"ph","ch",781,1335593544
"sk","hn",274,59822451
"ie","at",2606,301787717
"gt","do",4367,211651568
"in","il",1022,1196976949
"pl","ph",221,778042542
"hn","ar",3005,80897137
"vn","gt",122,183269158
"sv","ni",5653,104100002
"my","mx",429,296407407
"gr","gb",1197,160374254
"gb","dk",2902,2239079359
"us","de",1398,7986316247
"pt","lu",226,196362474
"se","at",1980,944441421
"sk","my",1304,59822451
"pe","au",222,709049813
"in","es",18,1196976949
"gb","bg",3047,2239079359
"tw","bo",126,235686855
"global","be",3732,29060235997
"us","py",110,7986316247
"ni","at",245,39326273
"ie","bo",206,301787717
"mx","lu",39,3730515231
"id","hn",135,1522282447
"it","bo",156,2125984974
"hn","de",223,80897137
"es","at",86,2478566814
"ni","lt",313,39326273
"tr","br",77,1249971688
"mx","au",442,3730515231
"lv","gb",3614,26516393
"za","bg",3317,82232947
"pl","hk",407,778042542
"th","hn",115,373758083
"th","sv",114,373758083
"us","ie",3156,7986316247
"pt","au",2735,196362474
"vn","do",61,183269158
"se","lt",1990,944441421
"pe","lu",21,709049813
"pa","fi",119,103847109
"za","dk",2244,82232947
"lu","ca",310,1665635
"pl","is",838,778042542
"id","fr",243,1522282447
"gr","br",112,160374254
"us","au",3603,7986316247
"us","se",1573,7986316247
"py","no",49,286041437
"pt","ie",2369,196362474
"uy","nl",132,121078533
"ph","co",57,1335593544
"pe","de",164,709049813
"za","es",83,82232947
"de","be",2312,2848080355
"hn","au",269,80897137
"py","ec",4721,286041437
"tr","gb",292,1249971688
"ni","id",156,39326273
"hu","cl",58,106950270
"mx","de",308,3730515231
"lv","br",166,26516393
"in","bg",1227,1196976949
"hk","global",1780,110866207
"th","fr",142,373758083
"dk","ch",2757,420215977
"co","cl",4369,553597716
"il","ca",2110,114722000
"ph","ec",52,1335593544
"mx","ie",438,3730515231
"pa","hu",140,103847109
"gb","es",83,2239079359
"global","fr",1390,29060235997
"hk","cl",58,110866207
"us","lu",253,7986316247
"py","co",4394,286041437
"pt","de",1457,196362474
"uy","cl",3855,121078533
"se","id",347,944441421
"ph","no",778,1335593544
"pe","ie",220,709049813
"za","sk",2413,82232947
"in","dk",943,1196976949
"id","au",808,1522282447
"us","fr",965,7986316247
"bo","au",207,121960058
"co","bg",111,553597716
"mx","hn",4752,3730515231
"gt","co",4798,211651568
"sv","be",312,104100002
"my","bo",245,296407407
"tw","pl",227,235686855
"hk","dk",997,110866207
"fr","bo",324,1747249125
"uy","dk",49,121078533
"sg","be",2278,233681017
"vn","th",1163,183269158
"tr","fi",272,1249971688
"hu","bg",3561,106950270
